16,9.375e+00,0.000e+00,0.000e+00,0.000e+00
32,4.688e+00,6.466e+01,1.000e+00,0.000e+00
64,2.344e+00,4.128e+01,2.633e+00,1.397e+00
128,1.172e+00,2.136e+01,3.976e+00,1.991e+00
256,5.859e-01,1.050e+01,7.229e+00,2.854e+00
512,2.930e-01,5.154e+00,3.695e+00,1.886e+00
1024,1.465e-01,2.546e+00,2.025e+00,1.018e+00
2048,7.324e-02,1.264e+00,2.014e+00,1.010e+00
4096,3.662e-02,6.298e-01,2.007e+00,1.005e+00
8192,1.831e-02,3.143e-01,2.004e+00,1.003e+00
16384,9.155e-03,1.570e-01,2.002e+00,1.001e+00
32768,4.578e-03,7.847e-02,2.001e+00,1.001e+00
